intid,main_street,cross_street,longitude,latitude,description
9958821909126,FERN VALLEY,HURSTBOURNE,-85.6408362097731,38.1612182704668,FERN VALLEY @ HURSTBOURNE
995964815E722,OUTER,AIR COMMERCE,-85.7192655382844,38.1348202737714,OUTER @ AIR COMMERCE
2766291269997,HURSTBOURNE,I 64 RAMP,-85.5793002934636,38.2222477459958,HURSTBOURNE @ I 64 RAMP
2795599975529,I 64 RAMP,RIVER,-85.7527395657684,38.2587179604639,I 64 RAMP @ RIVER
2943536600656,EL CONQUISTADOR,BRECKENRIDGE,-85.6272965725605,38.2162160181925,EL CONQUISTADOR @ BRECKENRIDGE
295506438E928,3RD,CENTENNIAL,-85.7619057511749,38.2164678454188,3RD @ CENTENNIAL
532306561717,BRECKENRIDGE,DUTCHMANS,-85.6372675408522,38.2325802503314,BRECKENRIDGE @ DUTCHMANS
1557304170701,BAXTER,BROADWAY,-85.7270080529275,38.2437446652263,BAXTER @ BROADWAY
1568005402479,BISHOP,GARDINER,-85.6863168870529,38.1978745205221,BISHOP @ GARDINER
1574311585143,CLARKS,PRESTON,-85.7415419358793,38.2129773617607,CLARKS @ PRESTON
1580531035900,NOBEL,7TH STREET,-85.8020165604244,38.1956342887323,NOBEL @ 7TH STREET
1610103951006,BARRET,CASTLEWOOD,-85.7239981333838,38.2310107405591,BARRET @ CASTLEWOOD
1627706570707,BRECKINRIDGE,BROOK,-85.752495149677,38.2411814008475,BRECKINRIDGE @ BROOK
1638932923326,JACKSON,JEFFERSON,-85.7443280503459,38.2524625462434,JACKSON @ JEFFERSON
1640111673844,CLAY,LIBERTY,-85.7405317804616,38.2506792308281,CLAY @ LIBERTY
1642611131114,W CHESTNUT ST,S 1ST ST,-85.7529215310893,38.2484086603817,W CHESTNUT ST @ S 1ST ST
1644211132796,CHESTNUT,HANCOCK,-85.7431626022012,38.247358566532,CHESTNUT @ HANCOCK
1647807012796,BROADWAY,HANCOCK,-85.7435731662797,38.2449905812224,BROADWAY @ HANCOCK
1656723234326,FRANKFORT,MELLWOOD,-85.7194768971306,38.2577235338813,FRANKFORT @ MELLWOOD
1664706586009,BRECKINRIDGE,6TH,-85.7624187246243,38.2423528513893,BRECKINRIDGE @ 6TH
1671318854214,8TH,MARKET,-85.7633952452342,38.2559610269941,8TH @ MARKET
1672938456009,LIBERTY,6TH,-85.7604697061848,38.2534356720776,LIBERTY @ 6TH
1674301677012,ARMORY,MUHAMMAD ALI,-85.759898951869,38.251404383792,ARMORY @ MUHAMMAD ALI
1674422077012,5TH,MUHAMMAD ALI,-85.7591542015897,38.2513264690352,5TH @ MUHAMMAD ALI
