,longitude,latitude,row_ID,unit_ID,sig_ID,main_street,cross_street,route,milepoint,times,owner,type,int_ID,ATMSID
482,-85.8117887404718,38.2614698701574,483,MPW002686,SIG002686,MARKET,38TH,,,24 HOURS,METRO,1, 1249642146446,
483,-85.785156311483,38.256964229604,484,MPW004089,SIG004089,JEFFERSON,DR W J HODGE,US-31W,20.14,24 HOURS,KYTC,1, 1271433276574,
484,-85.7777446626124,38.2511393494545,485,MPW004583,SIG004583,CHESTNUT,16TH,,,24 HOURS,METRO,1, 1290711146007,
485,-85.7882072121325,38.2492247614855,486,MPW003897,SIG003897,BROADWAY,22ND,US-150,0.0,24 HOURS,KYTC,1, 1299107026580,
486,-85.7574658571392,38.241716563663,487,MPW005753,SIG005753,BRECKINRIDGE,3RD,KY-1020,11.978,24 HOURS,KYTC,1, 1322706586438,
487,-85.7606545547697,38.2391746074252,488,MPW005605,SIG005605,5TH,KENTUCKY,,,24 HOURS,METRO,1, 1329222073532,
488,-85.8002990995548,38.2381136128055,489,MPW003141,SIG003141,28TH,VIRGINIA,,,24 HOURS,METRO,1, 1330565706877,
489,-85.8016145885347,38.2368758803599,490,MPW003082,SIG003082,CATALPA,DUMESNIL,,,24 HOURS,METRO,1, 1334510111698,
490,-85.7432602719618,38.2349166053538,491,MPW006335,SIG006335,CLAY,ST CATHERINE,,,24 HOURS,METRO,1, 1344911675785,
491,-85.7434555839323,38.2337891248226,492,MPW006324,SIG006324,CLAY,OAK,,,24 HOURS,METRO,1, 1349311674718,
492,-85.7917687664521,38.23155247121,493,MPW003658,SIG003658,STANDARD,22ND,,,24 HOURS,METRO,1, 1355861246580,
493,-85.7646824176294,38.2294620302981,494,MPW005368,SIG005368,MAGNOLIA,6TH,,,24 HOURS,METRO,1, 1363941306009,
494,-85.7652277441551,38.2263532567013,495,MPW005339,SIG005339,HILL,6TH,,,24 HOURS,METRO,1, 1373929346009,
495,-85.735289760298,38.2188924393296,496,MPW006669,SIG006669,BURNETT,EASTERN,US-60,5.069,24 HOURS,KYTC,1, 1406307741835,
496,-85.7795928705259,38.2107377256773,497,MPW004401,SIG004401,CENTRAL,COLORADO,,,24 HOURS,METRO,1, 1437210411238,
497,-85.7814973231902,38.2021296594755,498,MPW004268,SIG004268,ARCADE,TAYLOR,US-60,1.89,24 HOURS,KYTC,1, 1475001486392,
498,-85.6254069020661,38.2647138524409,499,MPW011789,SIG011789,I 264 RAMP,WESTPORT,KY-1447,2.0,24 HOURS,KYTC,1,2807199957132,
499,-85.809529227401,38.2431546263237,500,MPW002768,SIG002768,LOUIS COLEMAN JR,GREENWOOD,,,24 HOURS,METRO,1,28206E9852651,
500,-85.6269186963035,38.2505774766565,501,MPW018015,SIG018015,STONEHENGE,SHELBYVILLE,US-60,5.12,24 HOURS,KYTC,1,  263000555940,
501,-85.6135113117015,38.2481754833912,502,MPW018014,SIG018014,OXMOOR,SHELBYVILLE,,,24 HOURS,METRO,1,  266748395940,
502,-85.7319075393266,38.2251318887285,503,MPW017874,SIG017874,GOSS,PARKWAY GARDENS,KY-864,13.837,24 HOURS,KYTC,1, 1383225929018,
503,-85.754675851777,38.2171034722653,504,MPW018016,SIG018016,BRANDEIS,FLOYD,,,24 HOURS,METRO,3, 1407106472254,
504,-85.7015519239771,38.2455458550683,505,MPW007858,SIG007858,GRINSTEAD,LEXINGTON,US-60,8.009,24 HOURS,KYTC,1, 1524326633838,
505,-85.7340106486328,38.2527566487894,506,MPW006743,SIG006743,MARKET,WENZEL,US-31W,16.715,24 HOURS,KYTC,1, 1552742137101,
506,-85.7331868934482,38.2498752792465,507,MPW006772,SIG006772,CHESTNUT,LIBERTY,KY-864,15.84,24 HOURS,KYTC,1, 1553711133844,
507,-85.7650313932273,38.2466755971014,508,MPW005369,SIG005369,BROADWAY,8TH,US-150,2.015,24 HOURS,KYTC,1, 1555307021885,
508,-85.730702932205,38.24851087443,509,MPW006863,SIG006863,BAXTER,LEXINGTON,US-31E,16.3,24 HOURS,KYTC,1, 1557604173838,
509,-85.7377932913274,38.2545787977785,510,MPW006597,SIG006597,MAIN,SHELBY,US-31W,16.982,24 HOURS,KYTC,1, 1560341385936,
510,-85.7560370215744,38.2498508807662,511,MPW005812,SIG005812,GUTHRIE,3RD,KY-1020,12.37,24 HOURS,METRO,1, 1561526736438,
511,-85.760293587198,38.249216599193,512,MPW005631,SIG005631,ARMORY,CHESTNUT,,,24 HOURS,METRO,1, 1561801671114,
512,-85.6909668403607,38.2031649965036,513,MPW008391,SIG008391,GARDINER,NEWBURG,KY-1703,2.4,24 HOURS,KYTC,1, 1566224794552,
513,-85.6834887975917,38.1989310212778,514,MPW008712,SIG008712,MEADOWCREEK,NEWBURG,KY-1703,1.89,24 HOURS,KYTC,1, 1566843064552,
514,-85.6891914900806,38.2238634969347,515,MPW008502,SIG008502,BARDSTOWN,WROCKLAGE,US-31E,13.387,24 HOURS,KYTC,1, 1587903847314,
515,-85.6847080410047,38.2230110125313,516,MPW008684,SIG008684,BARDSTOWN,TAYLORSVILLE,US-31E,13.126,24 HOURS,KYTC,1, 1588703846394,
516,-85.7242756835629,38.2402693432561,517,MPW007060,SIG007060,BAXTER,HIGHLAND,US-31E,15.653,24 HOURS,KYTC,1, 1602604172923,
517,-85.722897213908,38.2410442189552,518,MPW007096,SIG007096,CHEROKEE,HIGHLAND,,,24 HOURS,METRO,1, 1609411002923,
518,-85.716302903747,38.2302708527325,519,MPW007279,SIG007279,BAXTER,CASTLEWOOD,KY-1703,4.871,24 HOURS,KYTC,1, 1613204171006,
519,-85.7443798722754,38.2403191561376,520,MPW006285,SIG006285,BRECKINRIDGE,HANCOCK,,,24 HOURS,METRO,1, 1629506572796,
520,-85.7423615361952,38.2401091234555,521,MPW006378,SIG006378,BRECKINRIDGE,CLAY,,,24 HOURS,METRO,1, 1629906571167,
521,-85.7403384672889,38.2399011762162,522,MPW006479,SIG006479,BRECKINRIDGE,SHELBY,KY-864,15.156,24 HOURS,KYTC,1, 1630206575937,
522,-85.744887469045,38.2373613398601,523,MPW006257,SIG006257,HANCOCK,KENTUCKY,,,24 HOURS,METRO,1, 1634627963531,
523,-85.7387503510765,38.2491063145528,524,MPW006558,SIG006558,SHELBY,MUHAMMAD ALI,,,24 HOURS,METRO,1,1642059377011,
524,-85.7367377045167,38.2488875304795,525,MPW006635,SIG006635,CAMPBELL,MUHAMMAD ALI,,,24 HOURS,METRO,1, 1642209247011,
525,-85.7518332594476,38.2482843118132,526,MPW005981,SIG005981,BROOK,CHESTNUT,,,24 HOURS,METRO,1, 1643007071113,
526,-85.7531392154097,38.2471056229109,527,MPW005907,SIG005907,1ST,GRAY,,,24 HOURS,METRO,1, 1644322232625,
527,-85.7496851225407,38.24544727949,528,MPW006082,SIG006082,BROADWAY,FLOYD,US-150,2.845,24 HOURS,KYTC,1, 1647307012254,
528,-85.7438461876756,38.2552384212071,529,MPW006325,SIG006325,JACKSON,MAIN,US-31W,17.343,24 HOURS,KYTC,1, 1650432924138,
529,-85.7454652857117,38.2577397311824,530,MPW006251,SIG006251,PRESTON,RIVER,,,24 HOURS,METRO,1, 1650851428199,
530,-85.7128149531934,38.2555512019655,531,MPW007447,SIG007447,FRANKFORT,HALDEMAN,US-60,0.382,24 HOURS,KYTC,1, 1658623232783,
531,-85.7828145691535,38.2221747116929,532,MPW004205,SIG004205,ALGONQUIN,16TH,KY-2054,2.17,24 HOURS,KYTC,1, 1664100616007,
532,-85.7647254435518,38.2377248219708,533,MPW005378,SIG005378,ST CATHERINE,7TH,,,24 HOURS,METRO,1, 1667157865899,
533,-85.7551244294268,38.2550539759711,534,MPW005838,SIG005838,MARKET,3RD,US-31W,21.944,24 HOURS,KYTC,1, 1669342146438,
534,-85.756570314401,38.2566299466582,535,MPW005799,SIG005799,W MAIN ST,N 4TH ST,US-31W,21.932,24 HOURS,KYTC,1, 1671123042305,
535,-85.7617413473045,38.2557764673398,536,MPW005568,SIG005568,MARKET,7TH,US-31W,21.574,24 HOURS,KYTC,1, 1671442145899,
536,-85.7555005654007,38.2528899647386,537,MPW005828,SIG005828,LIBERTY,3RD,KY-1020,12.581,24 HOURS,METRO,1, 1673438456438,
537,-85.7624598811642,38.251687595603,538,MPW005530,SIG005530,7TH,MUHAMMAD ALI,,,24 HOURS,METRO,1, 1674158997012,
538,-85.7558432041105,38.250959138549,539,MPW005816,SIG005816,3RD,MUHAMMAD ALI,KY-1020,12.447,24 HOURS,METRO,1, 1674864387012,
